"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FS","2018-05-27","80.9","-2.0127","5.5465","Masahiro Tanaka",545361,547888,"strikeout","called_strike",,,,,"2","Mike Trout called out on strikes.  ","R","R","R","NYY","LAA","S",2,"null",0,2,2018,"0.0888","-0.5340","0.2187","3.3047","null","null","null",0,6,"Top","null","null",,,596142,,"180527_192532","4.7148","-117.2142","2.7982","-0.3514","28.0747","-37.8519","3.4670","1.5890","null","null","null","78.4700","2492","5.4390",530191,547888,596142,595885,435522,609280,544369,458731,543305,519317,"55.0596","null","null","0.00",1,0,0,"null",45,"3","Split Finger",3,0,0,3,0,3,0,3,"Infield shift","Standard"
"FF","2018-05-27","91.7","-2.0826","5.3214","Masahiro Tanaka",545361,547888,"null","foul",,,,,"3","null","R","R","R","NYY","LAA","S","null","null",0,1,2018,"-0.9350","1.6064","0.5291","3.0175","null","null","null",0,6,"Top","null","null",,,596142,,"180527_192510","8.4826","-133.1805","-3.2979","-12.7523","29.1425","-12.9810","3.4670","1.5890","194","71.4","49.0985","90.6340","2328","5.7890",530191,547888,596142,595885,435522,609280,544369,458731,543305,519317,"54.7093","null","null","null","null","null","null","null",45,"2","4-Seam Fastball",3,0,0,3,0,3,0,3,"Infield shift","Standard"
"SL","2018-05-27","83.7","-2.2104","5.2187","Masahiro Tanaka",545361,547888,"null","called_strike",,,,,"5","null","R","R","R","NYY","LAA","S","null","null",0,0,2018,"0.4916","0.4866","0.0894","2.3830","null","null","null",0,6,"Top","null","null",,,596142,,"180527_192451","4.2952","-121.7296","-1.0434","3.8980","23.5724","-27.5507","3.4670","1.5890","null","null","null","82.3400","2555","5.3760",530191,547888,596142,595885,435522,609280,544369,458731,543305,519317,"55.1225","null","null","null","null","null","null","null",45,"1","Slider",3,0,0,3,0,3,0,3,"Infield shift","Standard"
"FF","2018-05-27","93.2","-2.0410","5.3278","Masahiro Tanaka",446359,547888,"strikeout","swinging_strike",,,,,"12","Zack Cozart strikes out swinging.  ","R","R","R","NYY","LAA","S",2,"null",1,2,2018,"-1.0035","1.6162","0.4638","3.7415","null","null","455759.00",2,5,"Top","null","null",,,596142,,"180527_191604","8.4456","-135.3835","-1.7470","-13.8082","27.9619","-12.6246","3.3710","1.5350","null","null","null","92.0500","2381","5.5830",530191,547888,596142,595885,435522,609280,544369,458731,543305,519317,"54.9135","null","null","0.00",1,0,0,"null",41,"4","4-Seam Fastball",3,0,0,3,0,3,0,3,"Standard","Standard"
"FS","2018-05-27","87.0","-2.3332","5.2728","Masahiro Tanaka",446359,547888,"null","swinging_strike",,,,,"13","null","R","R","R","NYY","LAA","S","null","null",1,1,2018,"-0.9007","-0.0805","-0.1471","1.2623","null","null","455759.00",2,5,"Top","null","null",,,596142,,"180527_191538","6.8996","-126.2919","-3.1750","-10.7809","26.9842","-32.6017","3.3710","1.5350","null","null","null","85.3110","1473","5.4410",530191,547888,596142,595885,435522,609280,544369,458731,543305,519317,"55.0568","null","null","null","null","null","null","null",41,"3","Split Finger",3,0,0,3,0,3,0,3,"Infield shift","Standard"
"SL","2018-05-27","84.0","-2.4432","5.2057","Masahiro Tanaka",446359,547888,"null","called_strike",,,,,"9","null","R","R","R","NYY","LAA","S","null","null",1,0,2018,"0.4505","0.4393","0.6205","1.8019","null","null","455759.00",2,5,"Top","null","null",,,596142,,"180527_191511","6.1171","-121.9293","-2.1433","2.8570","28.6653","-27.7933","3.3710","1.5350","null","null","null","81.9000","2488","5.4600",530191,547888,596142,595885,435522,609280,544369,458731,543305,519317,"55.0379","null","null","null","null","null","null","null",41,"2","Slider",3,0,0,3,0,3,0,3,"Infield shift","Standard"
"SL","2018-05-27","83.0","-2.3222","5.2168","Masahiro Tanaka",446359,547888,"null","ball",,,,,"14","null","R","R","R","NYY","LAA","B","null","null",0,0,2018,"0.0489","0.7649","0.9418","1.5958","null","null","455759.00",2,5,"Top","null","null",,,596142,,"180527_191443","7.2729","-120.4628","-3.1107","-1.1592","26.8245","-24.5644","3.3710","1.5350","null","null","null","81.4180","2391","5.6950",530191,547888,596142,595885,435522,609280,544369,458731,543305,519317,"54.8031","null","null","null","null","null","null","null",41,"1","Slider",3,0,0,3,0,3,0,3,"Infield shift","Standard"
"SI","2018-05-27","92.7","-2.0207","5.2859","Masahiro Tanaka",455759,547888,"walk","ball",,,,,"14","Chris Young walks.  ","R","R","R","NYY","LAA","B","null","null",3,2,2018,"-1.3569","1.6765","1.8249","0.9620","null","null","null",2,5,"Top","null","null",,,596142,,"180527_191354","12.4524","-133.9496","-8.5028","-18.7597","32.1147","-10.9283","3.4670","1.5890","null","null","null","90.4760","2337","5.5760",530191,547888,596142,595885,435522,609280,544369,458731,543305,519317,"54.9223","null","null","0.70",1,0,0,"null",40,"6","Sinker",3,0,0,3,0,3,0,3,"Infield shift","Standard"
"SL","2018-05-27","85.2","-2.1068","5.2691","Masahiro Tanaka",455759,547888,"null","ball",,,,,"14","null","R","R","R","NYY","LAA","B","null","null",2,2,2018,"0.5790","0.4427","1.4562","0.9725","null","null","null",2,5,"Top","null","null",,,596142,,"180527_191332","7.1133","-123.6635","-4.4840","4.1697","27.0240","-27.1023","3.4670","1.5890","null","null","null","83.4310","2518","5.4770",530191,547888,596142,595885,435522,609280,544369,458731,543305,519317,"55.0207","null","null","null","null","null","null","null",40,"5","Slider",3,0,0,3,0,3,0,3,"Infield shift","Standard"
"SL","2018-05-27","83.3","-2.1012","5.2931","Masahiro Tanaka",455759,547888,"null","swinging_strike",,,,,"6","null","R","R","R","NYY","LAA","S","null","null",2,1,2018,"0.3051","0.4485","0.7205","2.2207","null","null","null",2,5,"Top","null","null",,,596142,,"180527_191310","5.8098","-121.0841","-1.4276","1.7713","23.8688","-27.8635","3.4670","1.5890","null","null","null","82.0770","2463","5.5460",530191,547888,596142,595885,435522,609280,544369,458731,543305,519317,"54.9519","null","null","null","null","null","null","null",40,"4","Slider",3,0,0,3,0,3,0,3,"Infield shift","Standard"
