pitch_num,pitch_type,pitch_speed(km/h),px,py,result,batter_name,inning
1,FF,136,1.1,3.7,S,チェン,1
2,FF,141,4.2,1.6,B,チェン,1
3,FF,136,3.3,2.6,S,チェン,1
4,FF,142,3.6,1.6,S,チェン,1
5,FF,143,2.1,1.5,F,ウー,1
6,SL,136,3.2,2.2,F,ウー,1
7,FF,140,3.6,4.1,S,ウー,1
8,FF,137,4.5,3.6,HBP,ヨウ,1
9,FF,142,4.2,4.2,S,ワン,1
10,FF,141,0.8,2.7,F,ワン,1
11,FF,142,3.8,4.8,B,ワン,1
12,FF,139,0.8,3.8,F,ワン,1
13,FF,138,4.5,3.6,B,ワン,1
14,SL,132,3.5,1.6,F,ワン,1
15,FF,137,1.1,3.8,S,ワン,1
16,FF,135,4.1,3.7,B,ジュウ,2
17,FF,136,2.8,2.8,S,ジュウ,2
18,FF,139,3.8,3.6,S,ジュウ,2
19,FF,137,3.8,4.1,H,ジュウ,2
20,FF,132,2.4,1.8,S,スー,2
21,FF,142,4.5,0.6,B,スー,2
22,FF,137,2.1,1.4,S,スー,2
23,CU,105,1.8,4.2,B,スー,2
24,FF,144,1.2,1.8,S,チャン,2
25,CU,109,1.1,2.1,S,チャン,2
26,FF,136,0.2,2.1,B,チャン,2
27,CH,121,1.2,0.5,S,チャン,2
28,FF,138,4.2,4.2,B,チャン,2
29,CH,122,1.2,4.6,B,チャン,2
30,FF,140,3.8,2.8,S,チャン,2
31,FF,137,1.7,4.1,B,イェン,2
32,FF,143,3.1,2.2,S,イェン,2
33,FF,137,1.1,1.1,S,イェン,2
34,FF,140,2.6,3.4,S,イェン,2
35,FF,139,3.8,3.8,F,グォ,3
36,CH,124,0.5,0.5,B,グォ,3
37,FF,138,0.8,4.2,B,グォ,3
38,FF,139,4.2,0.6,B,グォ,3
39,FF,136,2.7,1.2,F,グォ,3
40,FF,138,1.7,2.2,F,グォ,3
41,CH,123,0.5,1.5,S,グォ,3
42,FF,141,3.7,1.7,S,チェン,3
43,SL,137,2.2,0.5,B,チェン,3
44,SL,132,3.0,1.4,I,チェン,3
45,FF,139,2.5,3.5,S,ウー,3
46,CU,108,3.8,4.1,B,ウー,3
47,FF,140,3.1,3.6,S,ウー,3
48,FF,144,4.1,1.8,B,ウー,3
49,SL,138,2.2,2.1,F,ウー,3
50,FF,143,3.3,1.6,S,ウー,3
51,FF,135,3.8,4.1,B,ヨウ,4
52,FF,133,3.8,3.5,F,ヨウ,4
53,FF,136,3.8,2.6,F,ヨウ,4
54,FF,141,3.8,2.4,H,ヨウ,4
55,CU,106,2.5,2.5,E,ワン,4
56,FF,139,1.1,2.6,S,ジュウ,4
57,FF,136,3.1,4.3,B,ジュウ,4
58,SL,134,4.1,0.5,B,ジュウ,4
59,FF,142,2.5,4.2,S,ジュウ,4
60,FF,138,3.7,2.6,F,ジュウ,4
61,FF,142,0.6,1.6,B,ジュウ,4
62,FF,142,1.6,3.2,S,ジュウ,4
63,CU,110,3.7,1.7,S,スー,4
64,FF,141,3.6,2.1,F,スー,4
65,FF,141,0.6,1.6,F,スー,4
66,CU,110,0.4,0.5,B,スー,4
67,FF,137,4.2,4.2,B,スー,4
68,SL,135,3.4,0.0,S,スー,4
69,FF,141,1.1,3.6,S,チャン,4
70,CH,124,0.8,2.8,F,チャン,4
71,CH,125,0.4,2.5,F,チャン,4
72,FF,137,3.1,4.3,S,チャン,4
73,SL,131,1.5,2.6,S,イェン,5
74,FF,138,4.2,0.5,B,イェン,5
75,SL,131,3.3,1.2,S,イェン,5
76,FF,139,4.2,0.5,B,イェン,5
77,FF,142,3.2,1.7,S,イェン,5
78,CU,109,3.2,0.4,B,グォ,5
79,FF,136,1.1,4.1,B,グォ,5
80,CH,120,0.3,3.7,B,グォ,5
81,FF,138,2.2,2.2,S,グォ,5
82,FF,137,4.1,2.6,B,グォ,5
83,FF,138,3.7,1.6,I,グォ,5
84,FF,140,2.7,4.5,B,チェン,5
85,FF,140,1.1,3.6,F,チェン,5
86,FF,139,3.6,0.4,F,チェン,5
87,FF,133,0.6,2.5,B,チェン,5
88,FF,133,2.5,2.5,I,チェン,5
89,FF,135,3.6,2.1,F,ウー,6
90,SL,128,3.2,1.3,I,ウー,6
91,CH,124,1.2,4.2,B,ヨウ,6
92,FF,137,3.5,3.6,S,ヨウ,6
93,FF,134,4.1,1.6,B,ヨウ,6
94,FF,139,1.8,4.1,S,ヨウ,6
95,CH,122,1.2,0.7,B,ヨウ,6
96,FF,138,2.6,3.6,I,ヨウ,6
97,FF,141,3.6,4.3,B,ワン,6
98,FF,142,3.4,1.6,S,ワン,6
99,FF,143,3.2,1.2,F,ワン,6
100,FF,142,2.6,4.3,F,ワン,6
101,FF,139,3.6,3.6,H,ワン,6
102,SL,130,4.2,2.1,B,ジュウ,6
103,FF,137,1.5,1.4,F,ジュウ,6
104,CU,104,3.6,4.3,B,ジュウ,6
105,FF,136,2.6,1.3,F,ジュウ,6
106,SL,136,3.2,0.6,I,ジュウ,6
