日時,曜日,相手,球場,開始,観衆,勝敗,得,失,打数,安打,本塁,盗塁,失策,攻撃,回数,被安,被本,四死球,自責,HA,カ,ナ,サ
6/26,月,オリックス,Koboパーク宮城,18:00,24931,△,4,4,45,10,0,0,0,12,12    ,10,1,1,4,0,25,1,-
6/28,水,オリックス,弘前,18:00,13227,○,3,2,32,9,2,0,0,8,9    ,9,1,2,2,0,25,1,-
6/30,金,ソフトバンク,Koboパーク宮城,18:00,25872,○,4,3,27,5,2,0,0,8,9    ,11,1,4,3,0,26,1,-
7/1,土,ソフトバンク,Koboパーク宮城,14:00,26383,●,9,10,36,12,2,0,0,9,9    ,16,2,2,10,0,26,0,-
7/2,日,ソフトバンク,Koboパーク宮城,13:00,27084,●,4,5,33,10,1,1,1,9,9    ,8,1,5,4,0,26,0,-
7/4,火,ロッテ,ZOZOマリン,18:15,11652,○,5,1,26,9,1,0,0,6,5    ,2,0,2,1,1,27,1,0
7/5,水,ロッテ,ZOZOマリン,18:30,13508,○,6,2,35,12,1,0,0,9,9    ,7,0,2,2,1,27,1,0
7/7,金,西武,Koboパーク宮城,18:00,24106,●,0,5,33,5,0,0,1,9,9    ,9,0,4,4,0,28,1,-
7/8,土,西武,Koboパーク宮城,16:00,27387,○,4,2,30,7,0,0,2,8,9    ,3,1,1,0,0,28,0,-
7/9,日,西武,Koboパーク宮城,13:00,26113,○,5,4,35,12,1,1,1,8,9    ,10,1,2,4,0,28,0,-
7/11,火,ソフトバンク,ヤフオクドーム,18:00,36140,○,5,4,33,9,1,0,0,9,9    ,7,1,4,4,1,29,1,0
7/12,水,ソフトバンク,ヤフオクドーム,18:00,36497,○,2,0,31,5,1,0,0,9,9    ,3,0,3,0,1,29,1,0
7/18,火,日本ハム,函館,13:00,10692,○,5,1,37,11,1,0,0,9,9    ,6,1,4,1,1,30,0,0
7/19,水,日本ハム,札幌ドーム,18:30,31515,○,3,2,39,13,2,0,1,9,9    ,2,1,3,0,1,30,1,0
7/20,木,日本ハム,札幌ドーム,18:00,21323,●,3,4,43,12,0,0,0,11,10 1/3,14,1,2,4,1,30,1,1
7/21,金,オリックス,Koboパーク宮城,18:00,22943,○,4,3,33,7,2,1,1,10,10    ,5,0,2,3,0,31,1,-
7/22,土,オリックス,Koboパーク宮城,16:00,26675,○,8,7,33,11,4,0,0,8,9    ,15,1,3,7,0,31,0,-
7/23,日,オリックス,Koboパーク宮城,14:00,22893,○,3,2,28,6,2,0,2,9,9    ,7,0,3,1,0,31,0,-
7/25,火,ソフトバンク,Koboパーク宮城,18:00,,中止,,,0,0,0,0,0,0,0    ,0,0,0,0,0,32,1,0
7/26,水,ソフトバンク,Koboパーク宮城,18:00,27209,○,4,1,32,8,2,2,0,8,9    ,5,0,3,1,0,32,1,-
7/27,木,ソフトバンク,Koboパーク宮城,14:00,25913,●,1,5,31,5,0,0,0,9,9    ,10,0,3,5,0,32,0,-
7/28,金,オリックス,ほっと神戸,18:00,16412,●,5,11,36,11,2,0,0,9,8    ,9,4,5,11,1,33,1,0
7/29,土,オリックス,京セラD大阪,14:00,20392,●,2,5,33,6,0,0,0,9,8    ,8,0,5,5,1,33,0,0
7/30,日,オリックス,京セラD大阪,13:00,21854,○,4,3,35,11,1,0,0,9,9    ,8,1,5,3,1,33,0,0
8/1,火,西武,メットライフ,18:00,17865,●,0,8,29,3,0,0,1,9,8    ,6,0,4,6,1,34,1,0
8/2,水,西武,メットライフ,18:00,19611,●,4,7,34,8,3,0,0,9,8    ,10,3,2,7,1,34,1,0
8/3,木,西武,メットライフ,18:00,20355,●,1,8,30,3,1,0,1,9,8    ,11,1,3,3,1,34,1,0
8/4,金,ロッテ,Koboパーク宮城,18:00,25171,○,3,2,29,5,1,1,0,9,9    ,5,1,2,2,0,35,1,-
8/5,土,ロッテ,Koboパーク宮城,18:00,24622,○,8,5,38,14,3,0,1,8,9    ,12,2,4,5,0,35,1,-
8/6,日,ロッテ,Koboパーク宮城,17:00,27093,●,1,3,31,4,0,1,0,9,9    ,6,0,5,3,0,35,1,-
8/8,火,日本ハム,Koboパーク宮城,18:00,,中止,,,0,0,0,0,0,0,0    ,0,0,0,0,0,36,1,0
8/9,水,日本ハム,Koboパーク宮城,18:00,26886,○,6,5,30,8,2,1,1,8,9    ,12,1,3,5,0,36,1,-
8/10,木,日本ハム,Koboパーク宮城,18:00,26745,○,4,3,40,12,1,1,0,11,11    ,11,1,6,3,0,36,1,-
8/11,金,オリックス,京セラD大阪,18:00,26324,●,4,8,39,12,0,1,1,9,8    ,12,1,3,8,1,37,1,0
8/12,土,オリックス,京セラD大阪,14:00,25715,○,7,0,39,14,0,1,0,9,9    ,4,0,3,0,1,37,0,0
8/13,日,オリックス,京セラD大阪,13:00,26670,○,4,2,29,5,2,0,0,9,9    ,5,2,2,2,1,37,0,0
8/15,火,西武,メットライフ,18:00,28772,●,8,17,39,13,2,0,1,9,8    ,16,3,13,17,1,38,1,0
8/16,水,西武,メットライフ,18:00,26154,●,0,5,32,5,0,0,2,9,8    ,9,1,2,4,1,38,1,0
8/17,木,西武,メットライフ,18:00,25948,●,0,3,28,2,0,0,0,9,8 2/3,9,1,3,3,1,38,1,3
8/18,金,ソフトバンク,Koboパーク宮城,18:00,25694,●,1,4,30,3,1,0,0,9,9    ,8,3,1,4,0,39,1,-
8/19,土,ソフトバンク,Koboパーク宮城,18:00,27111,●,0,2,28,4,0,0,0,9,9    ,7,0,1,2,0,39,1,-
8/20,日,ソフトバンク,Koboパーク宮城,17:00,26738,●,1,4,29,3,0,0,0,9,9    ,8,1,3,4,0,39,1,-
8/22,火,ロッテ,ZOZOマリン,18:15,18102,○,6,2,40,15,2,0,0,9,9    ,7,0,3,2,1,40,1,0
8/23,水,ロッテ,ZOZOマリン,18:15,20049,●,3,5,36,10,1,0,1,9,8    ,9,0,6,5,1,40,1,0
8/24,木,ロッテ,ZOZOマリン,18:15,19705,●,1,2,33,6,1,0,2,9,8    ,9,1,3,1,1,40,1,0
8/25,金,日本ハム,Koboパーク宮城,18:00,25090,●,3,5,38,9,0,1,1,10,10    ,6,0,7,4,0,41,1,-
8/26,土,日本ハム,Koboパーク宮城,16:00,27105,●,4,5,38,10,1,1,3,9,9    ,7,0,2,1,0,41,0,-
8/27,日,日本ハム,Koboパーク宮城,16:00,26611,●,2,5,32,8,0,1,0,9,9    ,11,1,3,5,0,41,0,-
8/29,火,西武,Koboパーク宮城,18:00,23157,●,1,3,30,6,0,0,0,9,9    ,11,0,2,3,0,42,1,-
8/30,水,西武,Koboパーク宮城,18:00,22239,△,8,8,33,10,1,1,0,8,8    ,13,2,5,5,0,42,1,-
8/31,木,西武,Koboパーク宮城,18:00,20416,●,2,6,31,5,1,0,1,9,9    ,8,0,4,5,0,42,1,-
9/1,金,ソフトバンク,ヤフオクドーム,18:00,38184,●,0,2,31,7,0,0,0,9,8    ,4,1,1,2,1,43,1,0
