"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2018-05-13","96.6","-2.2476","6.1116","Shohei Ohtani",641598,660271,"null","ball",,,,,"11","null","R","R","R","LAA","MIN","B","null","null",0,1,2018,"-0.6292","1.1747","-1.1235","3.0422","null","null","null",0,7,"Top","null","null",,,455117,,"180513_221647","4.4405","-140.5812","-5.3224","-9.3576","30.8945","-15.5593","3.5231","1.6341","null","null","null","96.9730","1971","6.4280",530008,660271,455117,472528,435079,446359,592743,457708,455759,594777,"54.0718","null","null","null","null","null","null","null",49,"2","4-Seam Fastball",1,0,0,1,0,1,0,1,"Standard","Standard"
"FF","2018-05-13","96.2","-2.2967","6.1190","Shohei Ohtani",641598,660271,"null","swinging_strike",,,,,"5","null","R","R","R","LAA","MIN","S","null","null",0,0,2018,"-0.3997","1.3038","0.2357","2.8838","null","null","null",0,7,"Top","null","null",,,455117,,"180513_221624","7.6805","-140.0103","-6.0477","-6.9645","29.8054","-13.6905","3.5913","1.3612","null","null","null","97.0410","2185","6.6300",530008,660271,455117,472528,435079,446359,592743,457708,455759,594777,"53.8696","null","null","null","null","null","null","null",49,"1","4-Seam Fastball",1,0,0,1,0,1,0,1,"Strategic","Standard"
"FS","2018-05-13","89.6","-2.2604","6.0863","Shohei Ohtani",592696,660271,"strikeout","swinging_strike",,,,,"14","Eddie Rosario strikes out swinging.  ","R","L","R","LAA","MIN","S",2,"null",1,2,2018,"-0.3896","0.4663","1.0607","1.3680","572821.00","null","null",2,6,"Top","null","null",,,455117,,"180513_220415","8.9638","-130.0933","-6.5903","-6.2071","26.2834","-25.7996","3.0026","1.2960","null","null","null","89.2300","1369","6.1000",530008,660271,455117,472528,435079,446359,592743,457708,455759,594777,"54.3993","null","null","0.00",1,0,0,"null",44,"4","Split Finger",1,0,0,1,0,1,0,1,"Strategic","Standard"
"FF","2018-05-13","99.4","-2.2559","6.0200","Shohei Ohtani",592696,660271,"null","foul",,,,,"7","null","R","L","R","LAA","MIN","S","null","null",1,1,2018,"-0.5297","1.2636","-0.4425","1.8167","572821.00","null","null",2,6,"Top","null","null",,,455117,,"180513_220332","6.2257","-144.4779","-9.1234","-8.8296","31.1888","-12.5410","3.0026","1.2960","167","81.2","17.6642","99.8940","2243","6.4600",530008,660271,455117,472528,435079,446359,592743,457708,455759,594777,"54.0394","null","null","null","null","null","null","null",44,"3","4-Seam Fastball",1,0,0,1,0,1,0,1,"Strategic","Standard"
"CU","2018-05-13","76.3","-2.0549","6.1287","Shohei Ohtani",592696,660271,"null","called_strike",,,,,"1","null","R","L","R","LAA","MIN","S","null","null",1,0,2018,"0.9209","-1.0132","-0.3702","2.6954","572821.00","null","null",2,6,"Top","null","null",,,455117,,"180513_220308","1.8939","-111.0205","1.6627","7.1670","21.0373","-41.0072","3.1136","1.4780","null","null","null","75.9090","2457","6.1410",530008,660271,455117,472528,435079,446359,592743,457708,455759,594777,"54.3583","null","null","null","null","null","null","null",44,"2","Curveball",1,0,0,1,0,1,0,1,"Strategic","Standard"
"FS","2018-05-13","86.1","-2.2487","6.1305","Shohei Ohtani",592696,660271,"null","ball",,,,,"11","null","R","L","R","LAA","MIN","B","null","null",0,0,2018,"-0.4317","0.2546","-1.8936","4.4542","572821.00","null","null",2,6,"Top","null","null",,,455117,,"180513_220227","1.7137","-125.3124","1.7813","-4.8749","26.9801","-30.1354","3.3183","1.6145","null","null","null","85.7910","1203","6.2290",530008,660271,455117,472528,435079,446359,592743,457708,455759,594777,"54.2711","null","null","null","null","null","null","null",44,"1","Split Finger",1,0,0,1,0,1,0,1,"Strategic","Standard"
"SL","2018-05-13","84.2","-2.5293","5.9138","Shohei Ohtani",500871,660271,"field_out","hit_into_play",,,,,"5","Eduardo Escobar grounds out, second baseman Ian Kinsler to first baseman Luis Valbuena.   Brian Dozier to 3rd.  ","R","L","R","LAA","MIN","X",4,"ground_ball",1,2,2018,"1.5525","0.0026","-0.0159","2.2798","null","572821.00","null",1,6,"Top","151.14","143.12",,,455117,,"180513_220140","2.7669","-122.5877","-2.0219","14.8870","25.8625","-31.9603","2.9523","1.1855","139","97.2","8.9020","83.8250","2457","6.1660",530008,660271,455117,472528,435079,446359,592743,457708,455759,594777,"54.3337","0.740","0.699","0.00",1,0,0,4,43,"4","Slider",1,0,0,1,0,1,0,1,"Standard","Standard"
"FS","2018-05-13","87.8","-2.2311","6.0867","Shohei Ohtani",500871,660271,"null","foul",,,,,"7","null","R","L","R","LAA","MIN","S","null","null",1,1,2018,"-0.4167","0.0563","-0.5227","1.4930","null","572821.00","null",1,6,"Top","null","null",,,455117,,"180513_220109","4.9813","-127.7509","-5.1088","-5.5565","26.1101","-30.7382","2.9523","1.1855","183","68.7","49.8862","87.6620","1195","6.1900",530008,660271,455117,472528,435079,446359,592743,457708,455759,594777,"54.3096","null","null","null","null","null","null","null",43,"3","Split Finger",1,0,0,1,0,1,0,1,"Standard","Standard"
"FF","2018-05-13","97.5","-2.2749","5.9373","Shohei Ohtani",500871,660271,"null","swinging_strike",,,,,"2","null","R","L","R","LAA","MIN","S","null","null",1,0,2018,"-0.4648","1.3948","0.1224","2.6463","null","572821.00","null",1,6,"Top","null","null",,,455117,,"180513_215942","7.5589","-141.8024","-6.5983","-8.0376","32.1140","-11.8956","2.9523","1.1855","null","null","null","98.0220","2179","6.5910",530008,660271,455117,472528,435079,446359,592743,457708,455759,594777,"53.9087","null","null","null","null","null","null","null",43,"2","4-Seam Fastball",1,0,0,1,0,1,0,1,"Standard","Standard"
"CU","2018-05-13","74.0","-1.9664","6.1886","Shohei Ohtani",500871,660271,"null","ball",,,,,"13","null","R","L","R","LAA","MIN","B","null","null",0,0,2018,"0.9077","-1.4152","-1.0114","2.0763","null","572821.00","null",1,6,"Top","null","null",,,455117,,"180513_215923","0.3675","-107.5912","1.4644","6.8558","21.8405","-43.5338","3.0914","1.4357","null","null","null","73.3510","2327","6.2370",530008,660271,455117,472528,435079,446359,592743,457708,455759,594777,"54.2628","null","null","null","null","null","null","null",43,"1","Curveball",1,0,0,1,0,1,0,1,"Standard","Standard"
